시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울,동대문구,의료,여자,80-84세,1,0,0,0,0,0,0,1,0,0
서울,동대문구,의료,여자,85세이상,19,1,1,5,9,1,0,0,0,0
서울,동대문구,감경,남자,65세미만,40,6,4,9,12,1,2,0,0,0
서울,동대문구,감경,남자,65-69세,67,10,3,13,22,10,1,2,0,0
서울,동대문구,감경,남자,70-74세,81,5,6,23,36,5,1,3,0,0
서울,동대문구,감경,남자,75-79세,92,5,10,28,32,7,4,1,1,0
서울,동대문구,감경,남자,80-84세,140,5,21,25,54,25,5,1,1,0
서울,동대문구,감경,남자,85세이상,142,2,10,33,73,17,5,0,1,0
서울,동대문구,감경,여자,65세미만,25,4,0,11,2,4,1,1,0,0
서울,동대문구,감경,여자,65-69세,52,9,5,12,16,2,2,2,0,1
서울,동대문구,감경,여자,70-74세,105,12,6,19,34,19,4,4,0,0
서울,동대문구,감경,여자,75-79세,221,15,15,39,103,19,6,6,0,1
서울,동대문구,감경,여자,80-84세,399,30,18,97,189,38,7,1,3,0
서울,동대문구,감경,여자,85세이상,585,35,61,202,219,49,5,4,1,0
서울,중랑구,일반,남자,65세미만,73,4,3,7,5,0,0,19,5,7
서울,중랑구,일반,남자,65-69세,166,12,9,23,38,5,1,19,9,6
서울,중랑구,일반,남자,70-74세,220,12,10,52,42,10,4,24,13,6
서울,중랑구,일반,남자,75-79세,290,7,16,64,88,17,2,21,13,5
서울,중랑구,일반,남자,80-84세,443,17,26,100,142,40,6,28,11,5
서울,중랑구,일반,남자,85세이상,457,22,32,105,162,34,4,21,7,3
서울,중랑구,일반,여자,65세미만,77,6,8,12,8,2,0,13,3,4
서울,중랑구,일반,여자,65-69세,194,10,13,38,29,6,1,22,11,10
서울,중랑구,일반,여자,70-74세,281,9,14,39,67,14,6,31,10,7
서울,중랑구,일반,여자,75-79세,634,25,27,107,191,40,18,49,33,8
서울,중랑구,일반,여자,80-84세,989,41,69,177,342,83,14,48,34,12
서울,중랑구,일반,여자,85세이상,1081,63,118,307,371,52,8,26,9,5
서울,중랑구,기초,남자,65세미만,145,5,9,21,49,7,5,15,11,7
서울,중랑구,기초,남자,65-69세,197,8,4,33,69,16,3,16,6,12
서울,중랑구,기초,남자,70-74세,150,4,9,21,61,9,0,14,7,5
서울,중랑구,기초,남자,75-79세,121,3,5,30,39,11,0,15,2,5
서울,중랑구,기초,남자,80-84세,86,3,10,15,35,5,0,2,3,3
서울,중랑구,기초,남자,85세이상,68,0,6,13,31,4,1,5,1,1
서울,중랑구,기초,여자,65세미만,69,8,6,15,14,5,2,8,3,2
서울,중랑구,기초,여자,65-69세,154,9,6,27,40,6,2,26,6,6
서울,중랑구,기초,여자,70-74세,142,6,4,38,47,7,3,10,2,2
서울,중랑구,기초,여자,75-79세,251,5,15,59,88,16,2,16,8,3
서울,중랑구,기초,여자,80-84세,332,19,32,77,124,18,4,19,7,6
서울,중랑구,기초,여자,85세이상,494,41,90,145,158,18,5,8,2,2
서울,중랑구,의료,남자,65-69세,1,0,0,1,0,0,0,0,0,0
서울,중랑구,의료,남자,70-74세,3,1,0,0,0,0,0,0,0,1
서울,중랑구,의료,남자,75-79세,3,0,0,0,0,0,0,0,0,0
서울,중랑구,의료,남자,80-84세,5,0,0,0,2,0,0,1,0,0
서울,중랑구,의료,남자,85세이상,5,0,0,2,2,1,0,0,0,0
서울,중랑구,의료,여자,65세미만,0,0,0,0,0,0,0,0,0,0
서울,중랑구,의료,여자,65-69세,1,0,0,0,0,0,0,0,0,0
서울,중랑구,의료,여자,70-74세,3,0,0,0,1,0,0,1,1,0
서울,중랑구,의료,여자,75-79세,5,0,0,1,0,1,0,1,0,0
